iter	RMSE
0	1724.483815
1	1663.459587
2	1606.831067
3	1553.752935
4	1503.423712
5	1459.427384
6	1411.754586
7	1367.100466
8	1325.81328
9	1286.425796
10	1248.297466
11	1211.146099
12	1179.571062
13	1153.433387
14	1120.908988
15	1090.118991
16	1060.870667
17	1033.376633
18	1008.281641
19	985.2207066
20	961.2290389
21	942.7433811
22	924.9317636
23	904.0508114
24	885.3400225
25	865.2137023
26	849.1873487
27	833.9128297
28	819.5242326
29	806.4735083
30	793.8722055
31	779.48751
32	765.8867455
33	755.8786174
34	743.481418
35	732.980469
36	722.913258
37	712.8619776
38	704.6894664
39	694.9656336
40	687.9314062
41	679.4007123
42	670.4553567
43	663.8617326
44	656.6564154
45	649.6959323
46	644.0622019
47	638.0928094
48	632.6106667
49	628.1339291
50	622.9357889
51	619.0055444
52	615.3292462
53	610.361131
54	607.6458508
55	603.5717508
56	597.5838549
57	592.8316344
58	589.1635284
59	585.4010711
60	581.9317425
61	577.622019
62	574.7174541
63	571.1760251
64	567.9719468
65	564.4785704
66	560.1861097
67	556.497868
68	553.9529423
69	551.3914962
70	548.8885047
71	546.0149503
72	543.3194399
73	541.2887909
74	538.4700638
75	537.0922406
76	534.2125861
77	531.3530105
78	529.6445681
79	527.79624
80	525.147088
81	522.7930173
82	519.9599784
83	517.5950458
84	514.9141724
85	512.206454
86	510.7437821
87	508.7403071
88	506.9916607
89	505.4881938
90	503.6731385
91	502.01505
92	499.4659169
93	497.0151573
94	495.3539335
95	494.3098196
96	493.2888572
97	491.6825831
98	490.8454006
99	489.179022
100	486.7019331
101	485.0207613
102	483.7044624
103	482.1947275
104	480.9614698
105	479.2273901
106	477.712214
107	476.0056007
108	474.2115804
109	472.8604106
110	471.7371373
111	470.3888203
112	468.9867593
113	467.9804559
114	466.6793578
115	465.643165
116	464.2128295
117	463.1599908
118	461.9819338
119	461.3043502
120	459.4036407
121	457.8373926
122	456.54575
123	455.7033982
124	454.6345814
125	453.869543
126	453.0753427
127	452.2627155
128	450.6452824
129	449.6922935
130	447.9403731
131	446.842562
132	445.8402779
133	444.4912272
134	443.6200695
135	442.2664517
136	440.1893898
137	438.6082359
138	437.7099292
139	436.1399691
140	435.3554817
141	433.9470255
142	432.8075615
143	431.8500563
144	430.917187
145	430.3656165
146	429.370868
147	428.5384801
148	427.1052246
149	425.8298734
150	424.0383503
151	422.8471565
152	422.1762964
153	421.2398596
154	420.4089812
155	419.8019854
156	419.1142224
157	417.6976797
158	415.922679
159	415.3849876
160	414.6587416
161	413.9873315
162	413.34271
163	411.8852723
164	411.2179172
165	409.8349716
166	409.046152
167	407.9596432
168	406.5640698
169	405.9502846
170	405.2922584
171	404.1297617
172	402.3358881
173	400.9758595
174	400.0644704
175	398.6408495
176	397.2445194
177	396.6608891
178	395.717516
179	394.574119
180	392.8602089
181	392.2609415
182	391.7053515
183	390.7791684
184	390.2233607
185	389.8343497
186	388.3256062
187	386.9237122
188	385.8595503
189	384.6146166
190	383.9842594
191	383.3394232
192	382.583569
193	381.8988727
194	381.2069519
195	380.4762477
196	380.1194214
197	379.3073517
198	377.5401809
199	376.4467497
200	376.1344141
201	375.8524586
202	374.9995458
203	374.5166458
204	373.2815458
205	372.6795433
206	371.0135238
207	370.5119574
208	369.4997444
209	369.0289399
210	367.6400591
211	365.9546306
212	365.0404998
213	364.5875654
214	363.9913772
215	363.6353315
216	363.048588
217	362.3654487
218	361.2630664
219	360.0385059
220	358.8416689
221	357.9068855
222	357.0373977
223	355.4369982
224	354.8425614
225	353.7468273
226	352.953956
227	352.6087182
228	352.2966908
229	351.127048
230	350.7260009
231	349.91526
232	349.570639
233	349.2827456
234	348.9580455
235	347.6587887
236	347.3188555
237	347.0608301
238	346.607448
239	345.6970058
240	345.1358555
241	344.4672065
242	344.1431474
243	343.766466
244	343.5034136
245	343.2810323
246	342.1467375
247	341.6702917
248	340.7974035
249	339.8850829
250	338.7456263
251	337.8974468
252	337.1850213
253	336.3571239
254	335.2325855
255	334.5191593
256	333.445456
257	333.228914
258	332.5770891
259	331.4071101
260	331.1601224
261	330.1927497
262	329.5159612
263	328.806255
264	328.2027045
265	327.8296901
266	327.3110569
267	326.7360606
268	326.0147805
269	325.8098264
270	325.4618443
271	324.4500606
272	324.3332159
273	323.2352518
274	322.4294709
275	321.7434137
276	320.8963054
277	320.3417604
278	320.0346071
279	319.6035694
280	319.0641317
281	318.0555182
282	317.3337518
283	316.7111266
284	316.4730153
285	315.8239436
286	315.4094631
287	315.0170345
288	314.4007385
289	313.759498
290	313.3361914
291	312.6624977
292	312.293114
293	312.0934166
294	311.0455397
295	310.2497363
296	310.0128934
297	309.5737469
298	308.3988428
299	308.1301369
