iter	Passed	Remaining
0	160	47932
1	166	24739
2	170	16835
3	176	13042
4	183	10849
5	187	9167
6	193	8110
7	199	7268
8	203	6591
9	209	6066
10	216	5678
11	223	5361
12	230	5081
13	240	4904
14	246	4677
15	250	4441
16	254	4237
17	258	4056
18	264	3919
19	271	3804
20	277	3690
21	283	3588
22	290	3501
23	296	3408
24	303	3333
25	309	3257
26	315	3191
27	319	3106
28	326	3053
29	333	2998
30	335	2915
31	343	2874
32	349	2830
33	355	2783
34	361	2738
35	366	2689
36	373	2653
37	381	2632
38	389	2609
39	396	2575
40	408	2577
41	420	2580
42	431	2578
43	441	2570
44	454	2577
45	488	2698
46	522	2813
47	536	2817
48	566	2903
49	603	3015
50	639	3121
51	655	3127
52	668	3116
53	678	3089
54	683	3043
55	697	3038
56	708	3020
57	721	3010
58	731	2988
59	739	2958
60	746	2926
61	756	2902
62	763	2870
63	770	2841
64	777	2811
65	783	2779
66	791	2752
67	802	2736
68	809	2709
69	815	2680
70	823	2654
71	829	2626
72	837	2603
73	847	2588
74	855	2567
75	863	2545
76	872	2526
77	881	2509
78	889	2487
79	897	2467
80	905	2447
81	911	2423
82	918	2401
83	924	2377
84	932	2358
85	938	2334
86	948	2321
87	958	2310
88	967	2293
89	975	2275
90	982	2256
91	990	2239
92	999	2224
93	1006	2205
94	1014	2189
95	1023	2173
96	1030	2156
97	1035	2135
98	1044	2120
99	1051	2103
100	1058	2085
101	1065	2067
102	1070	2047
103	1077	2031
104	1085	2016
105	1092	1999
106	1103	1990
107	1116	1984
108	1124	1970
109	1133	1957
110	1145	1949
111	1157	1943
112	1166	1929
113	1172	1913
114	1190	1915
115	1200	1904
116	1214	1899
117	1224	1888
118	1231	1873
119	1240	1860
120	1247	1845
121	1258	1835
122	1264	1819
123	1272	1805
124	1279	1790
125	1287	1778
126	1294	1763
127	1299	1746
128	1307	1733
129	1314	1718
130	1321	1704
131	1328	1690
132	1335	1676
133	1343	1664
134	1351	1652
135	1357	1637
136	1364	1622
137	1371	1609
138	1377	1596
139	1385	1583
140	1394	1572
141	1401	1559
142	1406	1544
143	1412	1530
144	1419	1517
145	1427	1505
146	1439	1498
147	1445	1484
148	1451	1471
149	1458	1458
150	1464	1444
151	1470	1432
152	1475	1417
153	1485	1408
154	1491	1394
155	1497	1382
156	1504	1370
157	1508	1355
158	1514	1343
159	1520	1330
160	1527	1318
161	1533	1306
162	1539	1294
163	1546	1282
164	1553	1271
165	1559	1258
166	1566	1247
167	1570	1234
168	1577	1222
169	1584	1211
170	1591	1200
171	1596	1188
172	1602	1176
173	1609	1165
174	1614	1152
175	1621	1142
176	1626	1130
177	1637	1122
178	1644	1111
179	1653	1102
180	1661	1092
181	1666	1080
182	1673	1069
183	1684	1061
184	1697	1055
185	1705	1045
186	1714	1036
187	1723	1026
188	1731	1017
189	1742	1008
190	1749	998
191	1755	987
192	1760	975
193	1765	964
194	1775	955
195	1782	945
196	1789	935
197	1792	923
198	1799	913
199	1805	902
200	1812	892
201	1818	882
202	1824	871
203	1831	861
204	1843	854
205	1865	851
206	1886	847
207	1893	837
208	1904	829
209	1913	819
210	1923	811
211	1931	801
212	1937	791
213	1944	781
214	1951	771
215	1955	760
216	1960	749
217	1968	740
218	1976	730
219	1984	721
220	1994	712
221	2001	703
222	2011	694
223	2019	685
224	2025	675
225	2032	665
226	2039	655
227	2047	646
228	2057	637
229	2064	628
230	2072	619
231	2078	609
232	2084	599
233	2091	589
234	2098	580
235	2106	571
236	2114	562
237	2122	552
238	2130	543
239	2139	534
240	2156	527
241	2170	520
242	2180	511
243	2192	503
244	2199	493
245	2207	484
246	2216	475
247	2223	466
248	2230	456
249	2237	447
250	2244	438
251	2251	428
252	2258	419
253	2264	410
254	2266	400
255	2273	390
256	2279	381
257	2284	371
258	2287	362
259	2295	353
260	2302	343
261	2307	334
262	2312	325
263	2319	316
264	2325	307
265	2332	298
266	2337	288
267	2344	279
268	2351	270
269	2359	262
270	2372	253
271	2378	244
272	2387	236
273	2399	227
274	2406	218
275	2413	209
276	2420	201
277	2427	192
278	2434	183
279	2440	174
280	2447	165
281	2453	156
282	2460	147
283	2468	139
284	2473	130
285	2478	121
286	2485	112
287	2492	103
288	2498	95
289	2506	86
290	2513	77
291	2519	69
292	2526	60
293	2533	51
294	2540	43
295	2544	34
296	2547	25
297	2553	17
298	2561	8
299	2567	0
