instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,comfort_index,is_weekend,quarter,is_warm_season,is_bad_weather,temp_yr
1,01-01-2018,1,0,1,0,1,1,2,14.110847,18.18125,80.5833,10.749882,331,654,985,13.7079305,0,1,0,0,0.0
2,02-01-2018,1,0,1,0,2,1,2,14.902598,17.68695,69.6087,16.652113,131,670,801,14.5545545,0,1,0,0,0.0
3,03-01-2018,1,0,1,0,3,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,1349,7.8322875000000005,0,1,0,0,0.0
4,04-01-2018,1,0,1,0,4,1,1,8.2,10.6061,59.0435,10.739832,108,1454,1562,7.9047825,0,1,0,0,0.0
5,05-01-2018,1,0,1,0,5,1,1,9.305237,11.4635,43.6957,12.5223,82,1518,1600,9.0867585,0,1,0,0,0.0
6,06-01-2018,1,0,1,0,6,0,1,8.378268,11.66045,51.8261,6.0008684,88,1518,1606,8.1191375,1,1,0,0,0.0
7,07-01-2018,1,0,1,0,0,0,2,8.057402,10.44195,49.8696,11.304642,148,1362,1510,7.808053999999999,1,1,0,0,0.0
8,08-01-2018,1,0,1,0,1,1,2,6.765,8.1127,53.5833,17.875868,68,891,959,6.4970835,0,1,0,0,0.0
9,09-01-2018,1,0,1,0,2,1,1,5.671653,5.80875,43.4167,24.25065,54,768,822,5.4545695,0,1,0,0,0.0
10,10-01-2018,1,0,1,0,3,1,1,6.184153,7.5444,48.2917,14.958889,41,1280,1321,5.9426945,0,1,0,0,0.0
11,11-01-2018,1,0,1,0,4,1,2,6.932731,9.5732,68.6364,8.182844,43,1220,1263,6.589549000000001,0,1,0,0,0.0
12,12-01-2018,1,0,1,0,5,1,1,7.081807,8.02365,59.9545,20.410009,25,1137,1162,6.7820345,0,1,0,0,0.0
13,13-01-2018,1,0,1,0,6,0,1,6.765,7.54415,47.0417,20.167,38,1368,1406,6.5297915,1,1,0,0,0.0
14,14-01-2018,1,0,1,0,0,0,1,6.59567,9.42065,53.7826,8.478716,54,1367,1421,6.326757,1,1,0,0,0.0
15,15-01-2018,1,0,1,0,1,1,2,9.566653,12.4056,49.875,10.583521,222,1026,1248,9.317278,0,1,0,0,0.0
16,16-01-2018,1,0,1,0,2,1,1,9.498347,11.71085,48.375,12.625011,251,953,1204,9.256472,0,1,0,0,0.0
17,17-01-2018,1,0,1,1,3,0,2,7.209153,8.83855,53.75,12.999139,117,883,1000,6.940403,0,1,0,0,0.0
18,18-01-2018,1,0,1,0,4,1,2,8.883347,11.61665,86.1667,9.833925,9,674,683,8.4525135,0,1,0,0,0.0
19,19-01-2018,1,0,1,0,5,1,2,11.979134,14.9211,74.1739,13.957239,78,1572,1650,11.6082645,0,1,0,0,0.0
20,20-01-2018,1,0,1,0,6,0,2,10.728347,12.7525,53.8333,13.125568,83,1844,1927,10.459180499999999,1,1,0,0,0.0
21,21-01-2018,1,0,1,0,0,0,1,7.2775,7.89165,45.7083,23.667214,75,1468,1543,7.0489584999999995,1,1,0,0,0.0
22,22-01-2018,1,0,1,0,1,1,1,2.4243464,3.95348,40.0,11.52199,93,888,981,2.2243464,0,1,0,0,0.0
23,23-01-2018,1,0,1,0,2,1,1,3.9573897,4.941955,43.6522,16.5222,150,836,986,3.7391286999999997,0,1,0,0,0.0
24,24-01-2018,1,0,1,0,3,1,1,3.9930433,5.8965,49.1739,10.60811,86,1330,1416,3.7471738,0,1,0,0,0.0
25,25-01-2018,1,0,1,0,4,1,2,9.162598,11.7263,61.6957,8.696332,186,1799,1985,8.8541195,0,1,0,0,0.0
26,26-01-2018,1,0,1,0,5,1,3,8.9175,10.18,86.25,19.68795,34,472,506,8.48625,0,1,0,1,0.0
27,27-01-2018,1,0,1,0,6,0,1,7.995,10.985,68.75,7.627079,15,416,431,7.65125,1,1,0,0,0.0
28,28-01-2018,1,0,1,0,0,0,2,8.342598,11.16585,79.3043,8.2611,38,1129,1167,7.9460765,1,1,0,0,0.0
29,29-01-2018,1,0,1,0,1,1,1,8.057402,10.6063,65.1739,9.739455,123,975,1098,7.7315325,0,1,0,0,0.0
30,30-01-2018,1,0,1,0,2,1,1,8.877402,12.5161,72.2174,4.9568342,140,956,1096,8.516315,0,1,0,0,0.0
31,31-01-2018,1,0,1,0,3,1,2,7.414153,9.3125,60.375,12.541864,42,1459,1501,7.112278,0,1,0,0,0.0
32,01-02-2018,1,0,2,0,4,1,2,7.879134,11.7265,82.9565,3.565271,47,1313,1360,7.464351499999999,0,1,0,0,0.0
33,02-02-2018,1,0,2,0,5,1,2,10.66,12.72085,77.5417,17.708636,72,1454,1526,10.2722915,0,1,0,0,0.0
34,03-02-2018,1,0,2,0,6,0,1,7.665237,8.8939,43.7826,18.609384,61,1489,1550,7.446324000000001,1,1,0,0,0.0
35,04-02-2018,1,0,2,0,0,0,2,8.663464,11.42935,58.5217,8.565213,88,1620,1708,8.3708555,1,1,0,0,0.0
36,05-02-2018,1,0,2,0,1,1,2,9.566653,12.1529,92.9167,10.792293,100,905,1005,9.1020695,0,1,0,0,0.0
37,06-02-2018,1,0,2,0,2,1,1,11.719153,14.58355,56.8333,9.5006,354,1269,1623,11.4349865,0,1,0,0,0.0
38,07-02-2018,1,0,2,0,3,1,1,11.138347,15.1829,73.8333,3.0423561,120,1592,1712,10.7691805,0,1,0,0,0.0
39,08-02-2018,1,0,2,0,4,1,1,9.054153,9.9123,53.7917,24.25065,64,1466,1530,8.7851945,0,1,0,0,0.0
40,09-02-2018,1,0,2,0,5,1,2,5.526103,7.21415,49.4783,12.652213,53,1552,1605,5.2787115,0,1,0,0,0.0
41,10-02-2018,1,0,2,0,6,0,1,5.918268,7.4774,43.7391,14.869645,47,1491,1538,5.6995725,1,1,0,0,0.0
42,11-02-2018,1,0,2,0,0,0,1,7.752731,10.67545,50.6364,7.27285,149,1597,1746,7.499549,1,1,0,0,0.0
43,12-02-2018,1,0,2,0,1,1,1,9.1225,11.6477,54.4167,13.625589,288,1184,1472,8.8504165,0,1,0,0,0.0
44,13-02-2018,1,0,2,0,2,1,1,12.977402,16.20565,45.7391,17.479161,397,1192,1589,12.748706499999999,0,1,0,0,0.0
45,14-02-2018,1,0,2,0,3,1,1,17.015,19.9175,37.5833,27.999836,208,1705,1913,16.8270835,0,1,0,0,0.0
46,15-02-2018,1,0,2,0,4,1,1,10.909567,12.7137,31.4348,19.522058,140,1675,1815,10.752393,0,1,0,0,0.0
47,16-02-2018,1,0,2,0,5,1,1,13.048701,15.81,42.3478,16.869997,218,1897,2115,12.836962,0,1,0,0,0.0
48,17-02-2018,1,0,2,0,6,0,1,17.869153,21.4329,50.5,15.416968,259,2216,2475,17.616653,1,1,0,0,0.0
49,18-02-2018,1,0,2,0,0,0,1,21.388347,25.59915,51.6667,17.749975,579,2348,2927,21.1300135,1,1,0,0,0.0
50,19-02-2018,1,0,2,0,1,1,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635,16.2718885,0,1,0,0,0.0
