season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,comfort_index,is_weekend,quarter,is_warm_season,is_bad_weather,temp_yr,day_of_year,cnt
1,0,1,0,1,1,2,-0.8167627304821936,-0.675006392545478,1.238593709505336,-0.4431071285253553,13.7079305,0,1,0,0,0.0,1,985
1,0,1,0,2,1,2,-0.7142035000712446,-0.7339089271232629,0.4952450555608065,0.7132410823439232,14.5545545,0,1,0,0,0.0,2,801
1,0,1,0,3,1,1,-1.6017330547755755,-1.7130399323129994,-1.2577941305780922,0.7102219992328938,7.8322875000000005,0,1,0,0,0.0,3,1349
1,0,1,0,4,1,1,-1.5824225394333244,-1.577688032858868,-0.22037348166649529,-0.4450760957716789,7.9047825,0,1,0,0,0.0,4,1562
1,0,1,0,5,1,1,-1.4392559932064095,-1.4755172192901993,-1.2599345108620794,-0.09586006496371144,9.0867585,0,1,0,0,0.0,5,1600
1,0,1,0,6,0,1,-1.5593306470493562,-1.4520479613798316,-0.7092336291870659,-1.3735202858134843,8.1191375,1,1,0,0,0.0,6,1606
1,0,1,0,0,0,2,-1.6008939289713742,-1.5972487268725104,-0.8417543262003941,-0.3344201365282883,7.808053999999999,1,1,0,0,0.0,7,1510
1,0,1,0,1,1,2,-1.768304837832331,-1.8748103871300583,-0.5902122293445813,0.9529956607046032,6.4970835,0,1,0,0,0.0,8,959
1,0,1,0,2,1,1,-1.90993121644394,-2.1493572099916567,-1.2788321722301954,2.2019247114960208,5.4545695,0,1,0,0,0.0,9,822
1,0,1,0,3,1,1,-1.8435446813014373,-1.9425310231821629,-0.9486310999378491,0.3815094806833098,5.9426945,0,1,0,0,0.0,10,1321
1,0,1,0,4,1,2,-1.7465778526108926,-1.7007720465456861,0.4293877216962219,-0.9460338690296579,6.589549000000001,0,1,0,0,0.0,11,1263
1,0,1,0,5,1,1,-1.7272673372686416,-1.8854218997826009,-0.15866821461863315,1.4494773150892726,6.7820345,0,1,0,0,0.0,12,1162
1,0,1,0,6,0,1,-1.768304837832331,-1.9425608140655222,-1.0332980415512711,1.4018676870731666,6.5297915,1,1,0,0,0.0,13,1406
1,0,1,0,0,0,1,-1.7902389490434136,-1.7189504435714622,-0.5767129321737372,-0.8880674732978887,6.326757,1,1,0,0,0.0,14,1421
1,0,1,0,1,1,2,-1.4053935493609218,-1.363253254439438,-0.841388565012624,-0.4757000996761666,9.317278,0,1,0,0,0.0,15,1248
1,0,1,0,2,1,1,-1.4142415467647145,-1.4460421192946193,-0.9429888949487306,-0.07573721970628323,9.256472,0,1,0,0,0.0,16,1204
1,0,1,1,3,0,2,-1.7107716110164326,-1.788315536384994,-0.5789210460110155,-0.002439132349807325,6.940403,0,1,0,0,0.0,17,1000
1,0,1,0,4,1,2,-1.4939053889357174,-1.4572673241443612,1.6167772309488417,-0.622558803355295,8.4525135,0,1,0,0,0.0,18,683
1,0,1,0,5,1,2,-1.0928935402153235,-1.0634973860792956,0.8044622730436826,0.1852690784663833,11.6082645,0,1,0,0,0.0,19,1650
1,0,1,0,6,0,2,-1.254913862422709,-1.3219154246902298,-0.5732788410218969,0.022330475608944526,10.459180499999999,1,1,0,0,0.0,20,1927
1,0,1,0,0,0,1,-1.7019183026898286,-1.9011514861962517,-1.1236139615091407,2.0876195996227773,7.0489584999999995,1,1,0,0,0.0,21,1543
1,0,1,0,1,1,1,-2.330570111506144,-2.370437738670854,-1.510257403758659,-0.2918379382144613,2.2243464,0,1,0,0,0.0,22,981
1,0,1,0,2,1,1,-2.1319878033882365,-2.2526475649569635,-1.2628809204302265,0.6877888990731128,3.7391286999999997,0,1,0,0,0.0,23,986
1,0,1,0,3,1,1,-2.1273694249114428,-2.138900609932582,-0.8888765592247599,-0.4708826931468279,3.7471738,0,1,0,0,0.0,24,1416
1,0,1,0,4,1,2,-1.4577326936672708,-1.4442010427030216,-0.040730551628800724,-0.8454327691908268,8.8541195,0,1,0,0,0.0,25,1985
1,0,1,0,5,1,3,-1.489481390233821,-1.628463614456267,1.6224194359379598,1.308013581665071,8.48625,0,1,0,1,0.0,26,506
1,0,1,0,6,0,1,-1.6089771534903252,-1.5325369700396838,0.4370822533500501,-1.054917757751357,7.65125,1,1,0,0,0.0,27,431
1,0,1,0,0,0,2,-1.5639511498952745,-1.5109862450176477,1.1519624948464828,-0.9307021774049506,7.9460765,1,1,0,0,0.0,28,1167
1,0,1,0,1,1,1,-1.6008939289713742,-1.5776642001521808,0.19486029342704322,-0.6410670954707378,7.7315325,0,1,0,0,0.0,29,1098
1,0,1,0,2,1,1,-1.4946754727433704,-1.3500856839946773,0.6719415760303539,-1.5780644792305734,8.516315,0,1,0,0,0.0,30,1096
1,0,1,0,3,1,2,-1.6842169969594318,-1.7318379797126466,-0.13018625545987816,-0.09202714205753451,7.112278,0,1,0,0,0.0,31,1501
1,0,2,0,4,1,2,-1.6239858213553422,-1.4441772099963344,1.3993389781749157,-1.850695560025535,7.464351499999999,0,1,0,0,0.0,32,1360
1,0,2,0,5,1,2,-1.263767170749313,-1.3256869505235027,1.0325753338162291,0.9202320457257768,10.2722915,0,1,0,0,0.0,33,1526
1,0,2,0,6,0,1,-1.6516929056624168,-1.78171983480927,-1.2540484650811143,1.0967040167896136,7.446324000000001,1,1,0,0,0.0,34,1550
1,0,2,0,0,0,2,-1.5223878679732568,-1.4795866539570643,-0.25571684977360215,-0.8711212285311963,8.3708555,1,1,0,0,0.0,35,1708
1,0,2,0,1,1,2,-1.4053935493609218,-1.3933658793389043,2.073978715661321,-0.4347980867458691,9.1020695,0,1,0,0,0.0,36,1005
1,0,2,0,2,1,1,-1.1265701017624121,-1.10372103679087,-0.37007818114968377,-0.6878628836916971,11.4349865,0,1,0,0,0.0,37,1623
1,0,2,0,3,1,1,-1.2018046343087072,-1.0323003730255547,0.7813922247928566,-1.9531435511414177,10.7691805,0,1,0,0,0.0,38,1712
1,0,2,0,4,1,1,-1.4717800845034243,-1.6603636923572846,-0.5760965568387918,2.2019247114960208,8.7851945,0,1,0,0,0.0,39,1530
1,0,2,0,5,1,2,-1.9287849924244105,-1.9818847800996493,-0.8682584656030599,-0.07040788169290066,5.2787115,0,1,0,0,0.0,40,1605
1,0,2,0,6,0,1,-1.8779860157333674,-1.950514979922425,-1.2569948746492614,0.36402505153595577,5.6995725,1,1,0,0,0.0,41,1538
1,0,2,0,0,0,1,-1.6403593963828889,-1.5694240418150296,-0.7898162375370562,-1.1243172899601124,7.499549,1,1,0,0,0.0,42,1746
1,0,2,0,1,1,1,-1.46292677617682,-1.4535672964311501,-0.5337630860320807,0.12029315933770197,8.8504165,0,1,0,0,0.0,43,1472
1,0,2,0,2,1,1,-0.9635831916033517,-0.9104258692031196,-1.121527768067786,0.8752739602680534,12.748706499999999,0,1,0,0,0.0,44,1589
1,0,2,0,3,1,1,-0.440574134982284,-0.4681087076159221,-1.6739490819963845,2.936454505961223,16.8270835,0,1,0,0,0.0,45,1913
1,0,2,0,4,1,1,-1.2314395835963203,-1.3265389697875756,-2.0904088344044855,1.2755124956524218,10.752393,0,1,0,0,0.0,46,1815
1,0,2,0,5,1,1,-0.9543474968343268,-0.9575729212073691,-1.3512325673426648,0.7559282922442209,12.836962,0,1,0,0,0.0,47,2115
1,0,2,0,6,0,1,-0.3299316800523838,-0.2875282890458725,-0.7990550942059129,0.47125500777074336,17.616653,1,1,0,0,0.0,48,2475
1,0,2,0,0,0,1,0.1259260685413397,0.2089367821349838,-0.7200303575816094,0.9283310643323216,21.1300135,1,1,0,0,0.0,49,2927
1,0,2,0,1,1,1,-0.5246619758551834,-0.5094942027785051,-2.946770922014611,4.111993584258003,16.2718885,0,1,0,0,0.0,50,1635
1,0,2,0,2,1,1,-1.1298416302142347,-1.189167248441691,-1.4572491249533273,0.38108943433742754,11.489984,0,1,0,0,0.0,51,1812
1,0,2,1,3,0,2,-1.0336289525629088,-1.1489793467901477,-0.12171956129853594,1.4917313521953792,12.134153,0,1,0,0,0.0,52,1107
1,0,2,0,4,1,1,-1.676840125174397,-1.7331309040504355,-0.30610384006658214,0.019429530532694434,7.182213,0,1,0,0,0.0,53,1450
1,0,2,0,5,1,1,-1.4669683884362958,-1.3775230875684887,-1.3541789769108121,-1.313823824194612,8.8797775,0,1,0,0,0.0,54,1917
1,0,2,0,6,0,2,-1.0744221506772738,-1.118497314937027,0.5040775109099183,0.7389295416842931,11.7730365,1,1,0,0,0.0,55,1807
1,0,2,0,0,0,2,-0.7095829972253263,-0.753439830253546,0.6042080227396162,1.999633016608726,14.582181,1,1,0,0,0.0,56,1461
