iter	Passed	Remaining
0	1	316
1	1	282
2	2	276
3	3	277
4	4	268
5	5	267
6	6	263
7	7	258
8	7	254
9	8	254
10	9	253
11	11	272
12	12	271
13	13	271
14	14	270
15	15	268
16	16	269
17	17	268
18	17	265
19	18	263
20	19	260
21	20	256
22	21	256
23	22	254
24	23	253
25	23	251
26	24	250
27	25	249
28	26	247
29	27	246
30	28	244
31	29	243
32	30	243
33	30	242
34	31	240
35	32	239
36	33	238
37	34	236
38	35	235
39	36	234
40	36	233
41	37	232
42	38	230
43	39	229
44	40	228
45	41	226
46	41	224
47	42	224
48	43	222
49	44	221
50	45	220
51	45	219
52	46	217
53	47	216
54	48	215
55	49	214
56	50	213
57	50	212
58	51	210
59	52	209
60	53	208
61	54	207
62	54	206
63	55	206
64	56	205
65	57	204
66	58	203
67	59	202
68	60	201
69	60	200
70	61	199
71	62	198
72	63	197
73	64	196
74	65	195
75	66	194
76	66	193
77	67	192
78	68	192
79	69	191
80	70	190
81	71	189
82	71	187
83	72	187
84	73	185
85	74	185
86	75	184
87	76	183
88	77	182
89	77	181
90	78	180
91	79	179
92	80	178
93	81	177
94	82	177
95	82	176
96	83	175
97	84	174
98	85	173
99	86	172
100	87	171
101	87	170
102	88	170
103	89	169
104	90	168
105	91	167
106	92	166
107	93	165
108	93	164
109	94	163
110	95	162
111	96	161
112	97	160
113	97	159
114	98	159
115	99	158
116	100	157
117	101	156
118	102	155
119	102	154
120	103	153
121	104	152
122	105	151
123	106	150
124	107	149
125	108	149
126	108	148
127	109	147
128	110	146
129	111	146
130	112	145
131	113	144
132	114	143
133	115	142
134	116	141
135	116	140
136	117	140
137	118	139
138	119	138
139	120	137
140	121	136
141	121	135
142	122	134
143	123	134
144	124	133
145	125	132
146	126	131
147	127	130
148	128	129
149	128	128
150	129	128
151	130	127
152	131	126
153	132	125
154	132	124
155	133	123
156	134	122
157	135	121
158	136	121
159	137	120
160	138	119
161	138	118
162	139	117
163	140	116
164	141	115
165	142	114
166	143	113
167	143	113
168	144	112
169	145	111
170	146	110
171	147	109
172	148	108
173	149	107
174	149	107
175	150	106
176	151	105
177	152	104
178	153	103
179	154	102
180	154	101
181	155	101
182	156	100
183	157	99
184	158	98
185	159	97
186	160	96
187	160	95
188	161	94
189	162	94
190	163	93
191	164	92
192	165	91
193	166	90
194	167	89
195	167	89
196	168	88
197	169	87
198	170	86
199	171	85
200	171	84
201	172	83
202	173	82
203	174	82
204	175	81
205	176	80
206	177	79
207	178	78
208	178	77
209	179	77
210	180	76
211	181	75
212	182	74
213	183	73
214	183	72
215	184	71
216	185	71
217	186	70
218	187	69
219	188	68
220	189	67
221	190	66
222	190	65
223	191	65
224	192	64
225	193	63
226	194	62
227	195	61
228	196	60
229	196	59
230	197	59
231	198	58
232	199	57
233	200	56
234	201	55
235	202	54
236	203	54
237	203	53
238	204	52
239	205	51
240	206	50
241	207	49
242	208	48
243	209	48
244	210	47
245	210	46
246	211	45
247	212	44
248	213	43
249	214	42
250	215	42
251	216	41
252	216	40
253	217	39
254	218	38
255	219	37
256	220	36
257	221	36
258	221	35
259	222	34
260	223	33
261	224	32
262	225	31
263	226	30
264	227	29
265	227	29
266	228	28
267	229	27
268	230	26
269	231	25
270	232	24
271	232	23
272	233	23
273	234	22
274	235	21
275	236	20
276	236	19
277	237	18
278	238	17
279	239	17
280	240	16
281	241	15
282	242	14
283	242	13
284	243	12
285	244	11
286	245	11
287	246	10
288	247	9
289	247	8
290	248	7
291	249	6
292	250	5
293	251	5
294	252	4
295	252	3
296	253	2
297	254	1
298	255	0
299	256	0
